"Regional average volatile organic compounds concentrations, Canada, 2002 to 2016",,,,,
,,,,,
Year,Atlantic Canada average concentration (parts per billion carbon),Southern Quebec average concentration (parts per billion carbon),Southern Ontario average concentration (parts per billion carbon),Prairies and northern Ontario average concentration (parts per billion carbon),British Columbia average concentration (parts per billion carbon)
2002,103.6,74.4,68.3,150.6,114.9
2003,148.1,77.8,75,156.7,219.1
2004,110,63.4,62.6,141.5,275.5
2005,117.3,60.6,62.9,137.1,98.8
2006,123.1,60.8,60.7,136.1,161.8
2007,58,60.8,56,119.9,186.5
2008,111.5,47.6,44.7,148,139.8
2009,135,42.7,43.7,121.4,195
2010,88.7,44.8,41.1,109.1,189.9
2011,74.5,39.3,30.8,108.9,125.9
2012,100.7,37.6,42.3,109.2,94.1
2013,85.8,36.8,41.9,140.1,110.9
2014,85.1,36.7,38.7,107.4,113.1
2015,80.8,37.2,46.3,110.5,110.6
2016,65.5,35.2,37.1,93.8,85.4
Annual trend ,-3.7,-3,-2.5,-3.9,-7.2
,,,,,
"Note: The average volatile organic compounds concentration indicator is based on the concentrations recorded at 5 monitoring stations in Atlantic Canada, 9 in southern Quebec, 13 in southern Ontario, 5 in the Prairies and northern Ontario region, and 6 in British Columbia. For more information on the indicators, consult the Air quality indicators definitions in the Methods section (www.canada.ca/en/environment-climate-change/services/environmental-indicators/air-quality.html#def).",,,,,
Source: Environment and Climate Change Canada (2018) National Air Pollution Surveillance Program (www.canada.ca/en/environment-climate-change/services/air-pollution/monitoring-networks-data/national-air-pollution-program.html).,,,,,
Available on the Environmental indicators website (www.canada.ca/environmental-indicators).,,,,,
